name,description
Apresentação do Instrutor,O Lucas Viana se apresenta nesta aula.
Apresentação dos Microfrontends,"O instrutor apresenta o conteúdo do Workshop, a história e o racional por trás da arquitetura de Microfrontends."
Framework de Decisões de Microfrontends,"Continuando com a teoria, é importante fazer as perguntas corretas antes de implementar quaisquer estratégias de arquitetura. Com Microfrontends não é diferente."
Microfrontends com Iframes - Criando o Header,"A forma mais simples de usar microfrontends é através de Iframes. Por mais que essa técnica não seja mais tão utilizada, é importante para entender a lógica por trás dos Microfrontends. 

Aqui o Lucas está usando o React para exemplificar, mas qualquer biblioteca frontend poderia ser utilizada."
Estilizando o Header,"Vamos estilizar um pouco nosso primeiro micro frontend, que é o Header"
Adicionando o Header com Iframe,"O Header é nosso primeiro microfrontend. Vamos adicioná-lo ao frontend “pai” que é o App Root, usando a técnica de iframe. Vamos mostrar também algumas razões pelas quais não utilizamos muito os iframes como técnica para microfrontend."
**Outra estratégia: Compondo com bibliotecas de componentes UIs**,Uma outra estratégia possível é uma UI Library. Entretanto vamos ver porque essa também é uma estratégia com alguns pontos negativos. —-
Introdução ao Module Federation,O webpack 5 trouxe uma forma mais eficaz de composição de microfrontends através de uma estratégia chamada “module federation”. Vamos criar o boilerplate de uma aplicação que usa ela.
Criando os componentes Header e Footer,"Na aplicação filho (child), vamos criar os componentes Header e Footer usando o Mantine - que é uma biblioteca de componentes - para termos estilos mais consistentes na nossa aplicação."
Configurando o Module Federation,"Vamos entender sobre a configuração “exposes” e o “remotes” do Module Federation. Vamos fazer isso para importar o Header e o Footer na aplicação host.

O Lucas também aproveita para responder uma dúvida"
Otimizando Importações,Vamos agora utilizar o React.Lazy e Suspense para demonstrar uma possível otimização no nosso código.
Trocando Informações entre componentes,Trocar informações e dados entre os componentes é tão simples como passar props para o componente.
Criando a API do Pet Shop,Vamos fazer o setup de um novo projeto com o create-mf-app. Vamos primeiro fazer o setup de uma API simples.
Criando o Front do Pet Shop,Começando com a criação do Card de cachorro e o componente responsável pela listagem de Cachorros.
Conectando os microfrontends,Vamos criar agora um outro frontend. Esse será o App responsável por se conectar e renderizar o componente (microfrontend) de listagem de cachorros.
Adicionando Rotas à Aplicação,Vamos adicionar o React Router Dom à nossa aplicação para deixá-la um pouco mais dinâmica.
